Arquivo,Manutenibilidade,Ciclomatico,Sloc_logico,Sloc_fisico,Dificuldade,Esforco,Duracao
app/MainApp.js,90.315,1,3,17,7.273,1149.989,63.888
app/RoutesApp.js,73.994,11,10,22,21.714,16282.88,904.604
app/useMockApp.js,66.023,4,18,28,10.057,5077.307,282.073
components/ApprovalDetail/ApprovalDetail.js,59.323,18,10,34,25.5,24645.711,1369.206
components/ApprovalDetail/index.js,100,1,0,2,1,4.755,0.264
components/ApprovalList/ApprovalList.js,79.017,13,34,40,28.957,56440.573,3135.587
components/ApprovalList/index.js,100,1,0,2,1,4.755,0.264
components/Example/Example.js,87.096,1,3,8,6,322.647,17.925
components/Example/index.js,100,1,0,3,1,12,0.667
components/FormVisit/FormVisit.js,74.217,10,54,49,36.551,86928.14,4829.341
components/FormVisit/index.js,100,1,0,2,1,4.755,0.264
components/FormVisitFields/FormVisitFields.js,81.44,2,3,33,7.097,2471.387,137.299
components/FormVisitFields/index.js,100,1,0,2,1,4.755,0.264
components/PageLayout/PageLayout.js,71.4,8,10,19,16.5,9571.488,531.749
components/PageLayout/index.js,100,1,0,2,1,4.755,0.264
components/RegisterApproval/RegisterApproval.js,89.484,1,4,19,9.789,2909.938,161.663
components/RegisterApproval/index.js,100,1,0,2,1,4.755,0.264
helpers/dateFormat.js,83.827,1,9,10,6.107,1243.172,69.065
pages/Details/DetailsPage.js,78.221,9,34,40,27.155,42413.247,2356.292
pages/Details/index.js,100,1,0,2,1.5,23.265,1.292
pages/Home/HomePage.js,100,1,2,11,5,480,26.667
pages/Home/index.js,100,1,0,2,1.5,23.265,1.292
services/httpClient.js,73.235,2,4,9,6.417,870.786,48.377
